Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
Manfred Broy, Bernhard Rumpe;21.09.2001;"""�bungen zur Einf�hrung in die Informatik""";3540420657;Unbekannt
Deutsche Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik, Peter Deussen, Gesellschaft f�r Informatik;1978;"""Zertifikat Medizinischer Informatiker der Deutschen Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik e.V. (GMDS) und derGesellschaft f�r Informatik e.V. (GI)""";3794506715;Unbekannt
Deutsche Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik, Gesellschaft f�r Informatik;1979;"""ZERTIFIKAT MEDIZINISCHER INFORMATIKER""";379450710X;Unbekannt
Heinz Griesel;Unbekannt;"""Informatik heute""";3506831801;Unbekannt
Helmut Balzert;1978;"""Informatik""";Unbekannt;Unbekannt
Georg Ch Pflug;1986;"""Stochastische Modelle in der Informatik""";Unbekannt;Unbekannt
Frank Fuchs-Kittowski, Werner Kriesel;2016;"""Informatik und Gesellschaft""";3631667191;Unbekannt
Friedbert Huber-W�schle, Helmut Schauer, Peter Widmayer;06.09.1995;"""GISI 95""";3540602135;Unbekannt
Deutsche Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik, International Biometric Society Deutsche Region;11.982;"""Zertifikat Biometrie in der Medizin der Deutschen Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik e.V. (GMDS) und der Deutschen Region (DR) der Internationalen Biometrischen Gesellschaft""";3794508416;Unbekannt
Heinz Griesel;Unbekannt;"""Informatik heute""";3506831801;Unbekannt
Helmut Balzert;1978;"""Informatik""";Unbekannt;Unbekannt
Georg Ch Pflug;1986;"""Stochastische Modelle in der Informatik""";Unbekannt;Unbekannt
Frank Fuchs-Kittowski, Werner Kriesel;2016;"""Informatik und Gesellschaft""";3631667191;Unbekannt
Friedbert Huber-W�schle, Helmut Schauer, Peter Widmayer;06.09.1995;"""GISI 95""";3540602135;Unbekannt
Deutsche Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik, International Biometric Society Deutsche Region;11.982;"""Zertifikat Biometrie in der Medizin der Deutschen Gesellschaft f�r Medizinische Dokumentation, Informatik und Statistik e.V. (GMDS) und der Deutschen Region (DR) der Internationalen Biometrischen Gesellschaft""";3794508416;Unbekannt
Wolfgang Schlegel, Christian P. Karger, Oliver J�kel;17.09.2018;"""Medizinische Physik""";9783662548011;79,99
Dieter Meschede;07.06.2006;"""Gerthsen Physik""";9783540299738;20,99
Ulrich Harten;14.10.2011;"""Physik""";9783642199790;16,09
Paul A. Tipler, Gene Mosca;12.09.2019;"""Physik""";9783662582817;66,99
Olaf Fritsche;17.01.2014;"""Physik f�r Biologen und Mediziner""";9783642346668;20,67
Wilhelm Heinrich Westphal, Walter Westphahl;01.07.2013;"""Physik""";9783662283288;39,99
Ingolf V. Hertel, C.-P. Schulz;25.11.2010;"""Atome, Molek�le und optische Physik 2""";9783642119736;46,99
Peter Kurzweil, Bernhard Frenzel, Florian Gebhard;13.02.2008;"""Physik Formelsammlung""";9783834894496;19,99
J�rgen Eichler;05.08.2014;"""Physik f�r das Ingenieurstudium""";9783658046262;20,67
Reinhold F�rth;13.03.2013;"""Einf�hrung in die Theoretische Physik""";9783709199879;42,99
Hartmut Haug;16.12.2005;"""Statistische Physik""";9783540293811;29,66
Hans J�rgen Korsch;22.01.2021;"""Physik mit 2x2-Matrizen""";3446466940;Unbekannt
Wolfgang W. Osterhage;23.11.2018;"""Eine Rundreise durch die Physik""";9783662578360;26,99
Gustav Karsten;1869;"""Einleitung in die physik""";Unbekannt;Unbekannt
Ernst Erhard Schmid, Carl Kuhn;1869;"""Allgemeine Encyklop�die der Physik ...""";Unbekannt;Unbekannt
Bogdan Povh;25.12.2010;"""Anschauliche Physik""";9783642177873;17,49
Werner Gruber, Christian Rupp;2018;"""ganz klar: Physik""";3710012538;Unbekannt
Joachim Schr�ter;1996;"""Zur Meta-Theorie der Physik""";3110138115;Unbekannt
Walter Roedel;1994;"""Physik unserer Umwelt""";Unbekannt;Unbekannt
Gustav Karsten;1869;"""Allgemeine Encyklopadie der Physik bearbeitet von P. W. Brix ... [et al.]""";Unbekannt;Unbekannt
Christa Kirsten, Hans-G�nther K�rber;31.12.1975;"""Physiker �ber Physiker [I.]""";9783112712252;129
Michio Kaku;02.12.2013;"""Die Physik der Zukunft""";9783644039216;10,99
Patrick Steglich, Katja Heise;02.12.2020;"""Vorkurs Physik f�rs MINT-Studium""";3662621258;Unbekannt
Paul A. Tipler, Gene Mosca;16.05.2024;"""Tipler Physik""";9783662679364;64,99
Unbekannt;2013;"""Physik verstehen. 3. Klasse : Arbeitsheft""";3209073171;Unbekannt
Hartmut Zabel;23.03.2016;"""Kurzlehrbuch Physik""";9783132400320;34,99
Andreas H�ttemann;1997;"""Idealisierungen und das Ziel der Physik""";3110152819;Unbekannt
Rainer Dohlus;07.11.2018;"""Physik""";3658227788;Unbekannt
Fritz Kurt Kneub�hl;08.03.2013;"""Repetitorium der Physik""";9783322848864;31,46
Wolfgang P�schl;10.09.2012;"""Physik des Segelns""";9783527648504;25,99
Paul Volkmann;1892;"""Ueber Gesetze und Aufgaben der Naturwissenschaften, insbesondere der Physik in formaler Hinsicht""";Unbekannt;Unbekannt
Matthias Bartelmann, Bj�rn Feuerbacher, Timm Kr�ger, Dieter L�st, Anton Rebhan, Andreas Wipf;04.05.2018;"""Theoretische Physik 1 | Mechanik""";366256114X;Unbekannt
Matthias Bartelmann, Bj�rn Feuerbacher, Timm Kr�ger, Dieter L�st, Anton Rebhan, Andreas Wipf;02.05.2018;"""Theoretische Physik 3 | Quantenmechanik""";9783662560723;29,99
David Halliday, Robert Resnick, Jearl Walker;26.09.2017;"""Halliday Physik""";9783527812608;70,99
J�rgen Wagner;22.09.2022;"""Erste Schritte in die Theoretische Physik""";3662642506;Unbekannt
Ruben M�der, David Kamber, Remo H�uselmann;2017;"""Physik f�r die Berufsmaturit�t""";303550833X;Unbekannt
Unbekannt;1873;"""Jahrbuch der Erfindungen und Fortschritte auf den Gebieten der Physik, Chemie und chemishcen Technologie, der Astronomie und Meteorologie""";Unbekannt;Unbekannt
Torsten Flie�bach;09.07.2009;"""Mechanik""";3827421489;Unbekannt
Dierk Suhr;12.12.2022;"""Konzepte einer MINT-Didaktik""";9783966659284;41,99
A. Nikuradse;09.03.2013;"""Das fl�ssige Dielektrikum (Isolierende Fl�ssigkeiten)""";9783642519970;42,99
Ernst Peter Fischer;17.02.2022;"""Die Stunde der Physiker""";9783406783128;18,99
"NA Schriftleitung der ""Naturwissenschaften""";13.08.2013;"""Ergebnisse der Exakten Naturwissenschaften""";9783642942556;42,99
Friedrich Wilhelm Joseph �von� Schelling;1800;"""Zeitschrift f�r spekulative Physik""";Unbekannt;Unbekannt
�sterreich Ackerbau-Ministerium;1869;"""Jahresbericht des k. k. Ackerbau-Ministeriums �ber die Ma�regeln und Arbeiten zur F�rderung der Landescultur in den im Reichsrathe vertretenen K�nigreichen und L�ndern""";Unbekannt;Unbekannt
W. Bertelsmann, F. Schuster;13.03.2013;"""Einf�hrung in die technische Behandlung gasf�rmiger Stoffe""";9783642913051;42,99
NA Mattauch, NA Fl�gge;12.03.2013;"""Kernphysikalische Tabellen""";9783642911637;42,99
Ernst Kircher, Raimund Girwidz, Peter H�u�ler;22.11.2006;"""Physikdidaktik""";9783540340911;38,49
Unbekannt;1833;"""Notizen aus dem Gebiete der Natur- und Heilkunde""";Unbekannt;Unbekannt
Friedr. Vieweg & Sohn;21.11.2013;"""Verlagskatalog von Friedr. Vieweg & Sohn in Braunschweig, 1786-1911: herausgegeben aus anlass des hundertf�nfundzwanzigj�hrigen bestehens der firma, gegr�ndet april 1786""";9783663027720;42,99
Unbekannt;1882;"""Hinrich's Repertorium �ber die nach den halbj�hrlichen verzeichnissen 1871-1885 erschienenen b�cher, landkarten c""";Unbekannt;Unbekannt
Ulrich Harten;05.07.2017;"""Physik f�r Mediziner""";9783662544471;22,99
Johann Christian Poggendorff, Gustav Heinrich Wiedemann, Eilhard Wiedemann;1913;"""Beibl�tter zu den Annalen der Physik und Chemie""";Unbekannt;Unbekannt
Hilmar Heinemann, Heinz Kr�mer, Peter M�ller, Hellmut Zimmer;09.11.2020;"""PHYSIK in Aufgaben und L�sungen""";9783446467347;29,99
Tobias H�rter;06.11.2021;"""Das Zeitalter der Unsch�rfe""";9783608117097;10,99
Ludwig-Friedrich von Froriep;1825;"""Notizen aus dem Gebiete der Natur-und Heilkunde""";Unbekannt;Unbekannt
Peter Jakubowski;07.10.2022;"""Universale Philosophie des Lebens""";9783756839117;Unbekannt
Unbekannt;1868;"""Katalog der Biblothek der K�niglichen polytechnischen Schule zu Hannover""";Unbekannt;Unbekannt
Manne Siegbahn;01.07.2013;"""Spektroskopie der R�ntgenstrahlen""";9783642507830;33,26
Udo Arend, Edmund Eberleh, Knut Pitschke;09.03.2013;"""Software-Ergonomie �99""";9783322997869;39,99
Christian Adamsen, Manfred Prenzel, Gesa Ramm, Deutsches PISA-Konsortium, Gesa Ramm;Unbekannt;"""Pisa 2003""";3830966067;61,2
Unbekannt;1852;"""Canstatt's Jahresbericht �ber die Fortschritte in der Pharmacie und verwandten Wissenschaften in allen L�ndern""";Unbekannt;Unbekannt
Christian Forstner, Dieter Hoffmann;30.06.2013;"""Physik im Kalten Krieg""";9783658010508;49,44
Hans-Christoph Rauh;23.08.2021;"""Personenverzeichnis zur DDR-Philosophie 1945�1995""";9783110731736;99,95
Jakob Henle;1856;"""Handbuch der systematischen Anatomie des Menschen von J. Henle""";Unbekannt;Unbekannt
Unbekannt;1918;"""Die Fortschritte der Physik""";Unbekannt;Unbekannt
Felix Auerbach;19.01.2022;"""W�rterbuch der Physik""";9783112409367;134,95
Patrik Vogt;03.09.2010;"""Werbeaufgaben im Physikunterricht""";9783834897398;49,44
Mathias H�fner;14.08.2023;"""G�tterd�mmerung am Physiker-Himmel""";9783757876401;9,99
Steven Holzner;09.01.2020;"""Physik f�r Dummies""";9783527827176;Unbekannt
Hans-Peter D�rr;18.03.2020;"""Geist, Kosmos und Physik: Gedanken �ber die Einheit des Lebens""";9783861911302;6,99
Unbekannt;1826;"""Isis""";Unbekannt;Unbekannt
Unbekannt;1850;"""Allgemeine Encyclop�die der Wissenschaften und K�nste in alphabeischer Folge""";Unbekannt;Unbekannt
Paul A. Tipler, Gene Mosca;23.12.2014;"""Physik""";9783642541667;56,64
Julius Frauenst�dt;04.07.2022;"""Schopenhauer-Lexikon""";9783368213824;Unbekannt
Ersch;1850;"""Allgemeine Enzyklop�die der Wissenschaften und K�nste in alphabetischer Folge von genannten Schriftstellern""";Unbekannt;Unbekannt
Unbekannt;1842;"""C. Canstatt's Jahresbericht �ber die Fortschritte der gesammten Medicin in allen L�ndern""";Unbekannt;Unbekannt
E. Neuenschwander;11.03.2013;"""Wissenschaft, Gesellschaft und politische Macht""";9783034885577;42,99
Johann Friedrich Pierer;1825;"""Medizinisches Realw�rterbuch zum Handgebrauch practischer Aerzte und Wund�rzte und zu belehrender Nachweisung f�r gebildete Personen aller St�nde""";Unbekannt;Unbekannt
Unbekannt;1850;"""Allgemeine Encyclop�die der Wissenschaften und K�nste in alphabetischer Folge""";Unbekannt;Unbekannt
Unbekannt;1850;"""Allgemeine Encyclop�die der Wissenschaften und K�nste in alphabetischer Folge von genannten Schriftstellern""";Unbekannt;Unbekannt
Karl Hahn;1925;"""Grundriss der Physik""";Unbekannt;Unbekannt
Marion Krewitt;14.12.2020;"""Zur scientific literacy angehender Erzieher*innen""";9783966659970;19,99
Unbekannt;09.03.2013;"""Geschichte, Biographie und friedenspolitisches Handeln""";9783322960382;42,99
Nadine Balzter, Florian Cristobal Klenk, Olga Zitzelsberger;05.12.2016;"""Queering MINT""";9783847408857;27,99
Max P�sler;01.06.2011;"""Ph�nomenologische Thermodynamik""";9783110860627;109,95
Unbekannt;09.03.2013;"""Reflexive Erkenntnis und psychologische Forschung""";9783322976550;35,96
Hermann Weyl;17.04.2013;"""Raum, Zeit, Materie""";9783662020449;39,99
Horst Schecker, Thomas Wilhelm, Martin Hopf, Reinders Duit;31.08.2018;"""Sch�lervorstellungen und Physikunterricht""";9783662572702;34,99
Unbekannt;1846;"""Jahresbericht �ber die Fortschritte der gesammten Medicin in allen L�ndern""";Unbekannt;Unbekannt
Michio Kaku;02.12.2013;"""Die Physik der unsichtbaren Dimensionen""";9783644504615;10,99
Johann Samuel Ersch;1813;"""Literatur der mathematik, natur- und gewerbs-kunde""";Unbekannt;Unbekannt
Unbekannt;1917;"""Annalen der Physik""";Unbekannt;Unbekannt
Unbekannt;1886;"""Leopoldina""";Unbekannt;Unbekannt
Max Born, Peter Brix, Hans Kopfermann, W. Heisenberg, Hermann Staudinger, Hans Stille, Carl Friedrich v. Weizs�cker, Hans von Euler, J. Arvid Hedvall, Carl Ludwig Siegel, Franz Rellich, Rolf Nevanlinna;13.03.2013;"""Festschrift zur Feier des Zweihundertj�hrigen Bestehens der Akademie der Wissenschaften in G�ttingen""";9783642867033;42,99
Richard Kukula, Karl Ignaz Tr�bner;1899;"""Minerva""";Unbekannt;Unbekannt
Harry Friedmann;22.01.2015;"""Einf�hrung in die Kernphysik""";9783527677412;40,99
Hilmar Schmuck, Willi Gorzny, Peter Geils;20.01.2020;"""Mum - Nap""";9783111452937;159,95
Alois Fadini;29.07.2013;"""Molek�lkraftkonstanten""";9783642723070;62,99
Otto Glasser, Margret Boveri;21.11.2013;"""Wilhelm Conrad R�ntgen und Die Geschichte der R�ntgenstrahlen""";9783709131244;36,99
Timotheus Anton Matauschek;1869;"""Normalien-Nachschlagebuch f�r Lehrer und Direktoren der Oesterreichische �ffentlichen Gymnasien""";Unbekannt;Unbekannt
Unbekannt;1859;"""Leipziger Repertorium der Deutschen und Ausl�ndischen Literatur""";Unbekannt;Unbekannt
Matthias Neuber;09.05.2016;"""Husserl, Cassirer, Schlick""";9783319267456;109,99
Peter Rosner;01.01.2012;"""Die Entwicklung �konomischen Denkens""";9783428536931;49,9
Marcus Knaup, Patrick Sp�t, Tobias M�ller;16.07.2014;"""Post-Physikalismus""";9783495860229;46,99
J.G.SEIDL, H. SEIDI, H. BONITZ, FR. HOCHEGGER;1865;"""ZEITSCHRIFT FUR DIE OSTERREICHISCHEN GYMNASIEN""";Unbekannt;Unbekannt
Siegfried Fl�gge;08.03.2013;"""Rechenmethoden der Quantentheorie""";9783642975042;36,99
Wolfgang Karl Ernst Finkelnburg;13.08.2013;"""Einf�hrung in die Atomphysik""";9783662288283;39,99
Unbekannt;1886;"""Leopoldina""";Unbekannt;Unbekannt
Unbekannt;1923;"""Zeitschrift f�r Physik""";Unbekannt;Unbekannt
Unbekannt;20.12.2013;"""Die Stoffe""";9783642863691;39,99
Hans Geiger, Karl Scheel;1926;"""Handbuch der Physik""";Unbekannt;Unbekannt
H. Lieb, W. Sch�niger, L. Kofler, A. Kofler;13.03.2013;"""Pr�parative Mikromethoden in der Organischen Chemie""";9783709178317;59,99
Oliver Klein;26.08.2020;"""Physik f�r Mediziner f�r Dummies""";9783527826209;22,99
Johann August Grunert;1915;"""Archiv der Mathematik und Physik""";Unbekannt;Unbekannt
Johann Samuel Ersch;1828;"""Handbuch Der Deutschen Literatur Seit Der Mitte Des Achtzehnten Jahrhunderts Bis Auf Die Neueste Zeit, Systematisch Bearbeitet Und Mit Den N�thigen Registern Versehen""";Unbekannt;Unbekannt
Karl Andree;1892;"""Globus""";Unbekannt;Unbekannt
Johann-Samuel Ersch;1828;"""Literatur der Mathematik, Natur- und Gewerbe-Kunde mit Inbegriff der Kriegskunst seit der Mitte des 18. Jh. bis auf die neueste Zeit. Neue fortges. Ausg. von Franz-Wilh. Schweigger-Seidel""";Unbekannt;Unbekannt
Lorenz Oken;1831;"""Isis oder Encyclop�dische Zeitung""";Unbekannt;Unbekannt
Klaus Becker;08.06.2020;"""Nik, der kleine Physiker""";9783751949408;Unbekannt
Robin Santra;20.03.2019;"""Einf�hrung in die Theoretische Physik""";9783662585214;29,99
Wolfgang Nolting;13.03.1997;"""Grundkurs Theoretische Physik 5 Quantenmechanik""";3528169389;Unbekannt
Karl-Heinz Goldhorn, Hans-Peter Heinz;29.03.2007;"""Mathematik f�r Physiker 1""";9783540487685;29,99
Harald Lesch, Quot-Team;08.12.2014;"""Physik f�r die Westentasche""";9783492969758;7,99
Christian Ucke, H. Joachim Schlichting;07.11.2011;"""Spiel, Physik und Spa�""";9783527409501;Unbekannt
Sabine Hossenfelder;26.09.2018;"""Das h�ssliche Universum""";9783104902838;14,99
Olli Lehto;15.08.2008;"""Erhabene Welten""";9783764377014;Unbekannt
Christoph Kommer, Tim Tugendhat, Niklas Wahl;31.08.2015;"""Tutorium Physik f�rs Nebenfach""";9783662472446;20,67
Johann Samuel Ersch;1828;"""Handbuch der deutschen Literatur...""";Unbekannt;Unbekannt
Johann Samuel Ersch;1828;"""Handbuch der deutschen literatur seit der mitte des achtzehnten jahrhunderts bis auf die neuste zeit, systematisch bearbeitet und mit den n�thigen registern verschiedenen mitarbeitern besorgte ausg. ...: bd., l. abth. Medicin (F.A.B. Puchelt). 2. abth. Mathematik, natur- und gewerbs-kunde(F.W. Schweigger-Seidel)""";Unbekannt;Unbekannt
Johann Samuel Ersch;1828;"""Literatur der Mathematik, Natur- und Gewerbs-Kunde mit Inbegriff der Kriegskunst und anderer K�nste, ausser den sch�nen, seit der Mitte des achtzehnten Jahrhunderts bis auf die neueste Zeit""";Unbekannt;Unbekannt
Horst Bannwarth, Bruno P. Kremer, Andreas Schulz;12.01.2011;"""Basiswissen Physik, Chemie und Biochemie""";9783642107672;16,99
Johann Christian Poggendorff;1926;"""Biographisch-literarisches Handw�rterbuch f�r Mathematik, Astronomie, Physik, Chemie und verwandte Wissenschaftsgebiete""";Unbekannt;Unbekannt
W.M. Conn;08.03.2013;"""Die Technische Physik der Lichtbogenschweissung einschliesslich der Schweissmittel""";9783642947667;33,26
Unbekannt;1878;"""Bibliotheca historico-naturalis, physico-chemica et mathematica""";Unbekannt;Unbekannt
Markus Vogt;25.11.2020;"""Quantenmechanik und Schulmathematik""";9783736963030;56,9
Wolfgang Nolting;20.10.2010;"""Grundkurs Theoretische Physik 2""";9783642129506;20,99
Jakob Schwichtenberg;09.01.2017;"""Durch Symmetrie die moderne Physik verstehen""";9783662538128;Unbekannt
Simone Liehl, Sarah Mirna, Ingrid Lewisch, Wolfgang Eisenzopf;2016;"""Physik ist �berall""";3703423617;Unbekannt
Walter Seibt;02.09.2015;"""Physik f�r Mediziner""";313113237X;Unbekannt
Dieter Meschede;27.02.2015;"""Optik, Licht und Laser""";9783663109549;39,99
Josef Brandm�ller, Heribert Moser;09.03.2013;"""Einf�hrung in die Ramanspektroskopie""";9783642865206;39,99
Unbekannt;1861;"""Literarisches Centralblatt f�r Deutschland""";Unbekannt;Unbekannt
Unbekannt;1858;"""Allgemeine Encyclop�die der Wissenschaften und K�nste in alphabetischer Folge: A-G""";Unbekannt;Unbekannt
Unbekannt;1858;"""Allgemeine Encyklop�die der Wissenschaften und K�nste""";Unbekannt;Unbekannt
Unbekannt;1858;"""Allgemeine Encyclop�die der Wissenschaften und K�nste in alphabetischer Folge von genannten Schriftstellern bearbeitet und herausgegeben von J.S. Ersch und J.G. Gruber""";Unbekannt;Unbekannt
Rolf Heilmann;05.03.2015;"""Auch Physiker kochen nur mit Wasser""";9783776682083;14,99
Arnold Frederick Holleman;1899;"""Lehrbuch der organischen Chemie f�r Studierende an Universit�ten und technischen Hochschulen""";Unbekannt;Unbekannt
Unbekannt;1885;"""Sammlung der f�r die �sterreichischen Universit�ten giltigen Gesetze und Verordnungen""";Unbekannt;Unbekannt
Unbekannt;1890;"""Bayerische Blatter fur das Gymnasial-Schulwesen""";Unbekannt;Unbekannt
W. Schlegel, J. Bille;07.03.2013;"""Medizinische Physik 2""";9783642562594;53,94
Heribert Stroppe, Peter Streitenberger, Eckard Specht;07.12.2020;"""PHYSIK""";9783446468009;22,99
Friedrich Zarncke, Eduard Zarncke;1860;"""Literarisches Centralblatt f�r Deutschland""";Unbekannt;Unbekannt
Siegfried Fl�gge;1958;"""Handbuch der Physik""";Unbekannt;Unbekannt
Wolfgang Demtr�der;17.08.2008;"""Experimentalphysik 1""";9783540792956;20,99
Unbekannt;1894;"""Himmel und Erde""";Unbekannt;Unbekannt
Werner Heisenberg;1984;"""Physik und Erkenntnis 1956-1968""";Unbekannt;Unbekannt
Versammlung Deutscher Naturforscher und �rzte;1838;"""Bericht �ber die Versammlung Deutscher Naturforscher und �rzte""";Unbekannt;Unbekannt
Hans-Otto Carmesin, Reiner Kienle, Josef K�blbeck, Carl-Julian Pardall, Jochen Sch�fer, Ursula Wienbruch;2021;"""Sch�lerbuch - Kursstufe""";3060109001;Unbekannt
Hergen Scheck, Birgitt Scheck;08.02.2012;"""Wirtschaftliches Grundwissen""";9783527660254;25,99
Werner Heisenberg;18.12.2018;"""Das Naturbild der heutigen Physik""";9783688116898;14,99
F. W. K�ster;25.10.2021;"""Logarithmische Rechentafeln f�r Chemiker, Pharmazeuten, Mediziner und Physiker""";9783112448106;109,95
Unbekannt;1884;"""Verzeichni� der B�cher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind""";Unbekannt;Unbekannt
Eidgen�ssisches Polytechnikum (ZURICH);1873;"""Bericht �ber die Organisation und das Wirken der eidgen�ssischen polytechnischen Schule in Z�rich, etc""";Unbekannt;Unbekannt
Fr Ahlborn;1881;"""Ueber Berechnung von Summen von gr�ssten Ganzen auf geometrischem Wege nach der von Eisenstein zuerst angewandten Methode""";Unbekannt;Unbekannt
K�nigliche Gesellschaft der Wissenschaften zu G�ttingen;1895;"""Nachrichten von der K�niglichen Gesellschaft der Wissenschaften zu G�ttingen""";Unbekannt;Unbekannt
Anton Mayer;1878;"""Geschichte der geistigen Cultur in Nieder�sterreich von der �ltesten Zeit bis in die Gegenwart: Bd. Der Cultus. Unterricht und Erziehung. Die Wissenschaften""";Unbekannt;Unbekannt
Peter Niemz, Walter Ulrich Sonderegger;07.08.2017;"""Holzphysik""";3446445269;Unbekannt
Unbekannt;1885;"""Allgemeine deutsche Biographie""";Unbekannt;Unbekannt
Metin Tolan, Joachim Stolze;11.06.2013;"""Gesch�ttelt, nicht ger�hrt""";9783492964111;11,99
Matthias Bartelmann, Bj�rn Feuerbacher, Timm Kr�ger, Dieter L�st, Anton Rebhan, Andreas Wipf;16.08.2018;"""Theoretische Physik 2 | Elektrodynamik""";9783662561171;29,99
David Halliday, Robert Resnick, Jearl Walker;02.10.2017;"""Arbeitsbuch Halliday Physik, L�sungen zu den Aufgaben der 3. Auflage""";9783527812554;37,99
Ludwig Otto Hesse;1872;"""Die vier Species""";Unbekannt;Unbekannt
Unbekannt;1916;"""Hof- und Staats-handbuch der �sterreichisch-ungarischen Monarchie""";Unbekannt;Unbekannt
J. C. Hinrichs Verlag;1891;"""Vierteljahrs-katalog der neuigkeiten des deutschen buchhandels nach den wissenschaften geordnet""";Unbekannt;Unbekannt
Gerhart Hantke;03.09.2013;"""Blei""";9783662124826;39,99
Emil Jochmann, Oswald Hermes;1893;"""Grundri� der Experimentalphysik und Elemente der Astronomie und mathematischen Geographie""";Unbekannt;Unbekannt
Unbekannt;1895;"""Hochschulnachrichten""";Unbekannt;Unbekannt
Unbekannt;1897;"""Chemisch-Pharmaceutisches Central-Blatt""";Unbekannt;Unbekannt
Unbekannt;1890;"""... Jahresbericht des K.K. Staats-Gymnasiums zu Linz �ber das Schuljahr ...""";Unbekannt;Unbekannt
Technische Hochschule Wien;1872;"""Programm der Technischen Hochschule in Wien""";Unbekannt;Unbekannt
Akademie der Wissenschaften in G�ttingen. Mathematisch-Physikalische Klasse;1895;"""Nachrichten""";Unbekannt;Unbekannt
Max Planck;1897;"""Vorlesungen �ber Thermodynamik""";Unbekannt;Unbekannt
Hessisches Landesamt f�r Bodenforschung;1893;"""Notizblatt des Hessischen Landesamtes f�r Bodenforschung zu Wiesbaden""";Unbekannt;Unbekannt
Armin Wachter, Henning Hoeber;30.03.2006;"""Repetitorium Theoretische Physik""";9783540267607;49,99
Cumrun Vafa;01.11.2021;"""Das Universum in R�tseln""";9783527835959;21,99
Carsten M�ller;03.09.2013;"""50 Jahre Spezi in Jena""";9783732229734;Unbekannt
Ingolf Volker Hertel, Claus-Peter Schulz;05.05.2015;"""Atome, Molek�le und optische Physik 1""";9783662468081;35,96
J�rgen Beetz;16.01.2015;"""E=mc^2: Physik f�r H�hlenmenschen""";3642544088;Unbekannt
Ludwig Feuerbach;1874;"""Ludwig Feuerbach's Briefwechsel und Nachlass: 1850-1872""";Unbekannt;Unbekannt
Unbekannt;1800;"""Allgemeines Repertorium der Literatur""";Unbekannt;Unbekannt
Anke Ganzer;13.07.2011;"""Physik I - kompetenzorientierte Aufgaben""";9783403532033;Unbekannt
Unbekannt;1881;"""P�dagogische Studien""";Unbekannt;Unbekannt
Leonard Susskind, George E. Hrabovsky;28.10.2019;"""Klassische Mechanik: Das Theoretische Minimum""";3662603330;Unbekannt
Daniel V. Schroeder;22.06.2018;"""Thermodynamik und statistische Physik""";3868943455;Unbekannt
Wilhelm Heinsius;1889;"""Allgemeines B�cher-Lexikon: Bd. 1885-88. Bearb. u. hrsg. von K. Bolhoevener. 1889-90. 2 v""";Unbekannt;Unbekannt
David J. Griffiths;01.03.2015;"""Einf�hrung in die Physik des 20. Jahrhunderts""";3868942629;Unbekannt
K�roly Simonyi;1995;"""Kulturgeschichte der Physik""";Unbekannt;Unbekannt
Klaus Roth;13.07.2010;"""Chemische K�stlichkeiten""";9783527327522;Unbekannt
Unbekannt;1895;"""Chemisches Central-Blatt""";Unbekannt;Unbekannt
Matthias Lempertz;1897;"""Katalog ...""";Unbekannt;Unbekannt
Gymnasium Ernestinum (Gotha);1873;"""Programm des Gymnasium Ernestinum zu Gotha als Einladung zur Theilnahme an den am 7. und 8. April zu veranstaltenden Pr�fungen s�mmtlicher Classen""";Unbekannt;Unbekannt
Carl Spitz;1875;"""Lehrbuch der sph�rischen Trigonometrie nebst vielen Beispielen �ber deren Anwendung..""";Unbekannt;Unbekannt
Max Hoffmann;1892;"""Satzungen und Bedingungen f�r die Erwerbung des Doktorgrades bei den Philosophischen Fakult�ten der Universit�ten des deutschen Reiches ...""";Unbekannt;Unbekannt
Unbekannt;1882;"""Repertorium ueber die nach den halbj�hrlichen Verzeichnissen der J.C. Hinrichs'schen Buchhandlung in Leipzig erschienenen B�cher, Landkarten, &c ...""";Unbekannt;Unbekannt
Unbekannt;1895;"""B�cher-Verzeichniss""";Unbekannt;Unbekannt
Unbekannt;1894;"""Zeitschrift f�r die �sterreichischen Gymnasium ...""";Unbekannt;Unbekannt
Unbekannt;1894;"""Jahresbericht""";Unbekannt;Unbekannt
Unbekannt;1879;"""Programm der Vorschule und der Realschule zu Oldenburg""";Unbekannt;Unbekannt
Vienna Univ;1890;"""�ffentliche Vorlesungen""";Unbekannt;Unbekannt
Unbekannt;1899;"""Sokrates""";Unbekannt;Unbekannt
Universit�t Kiel;1872;"""Schriften der Universit�t zu Kiel""";Unbekannt;Unbekannt
Unbekannt;1877;"""Mitteilungen der Verlagsbuchhandlung B. G. Teubner in Leipzig""";Unbekannt;Unbekannt
Unbekannt;1899;"""Ostwald's Klassiker der exakten Wissenschaften""";Unbekannt;Unbekannt
Gymnasium Ernestinum (Gotha);1872;"""Programm des Gymnasium Ernestinum zu Gotha als Einladung zur Theilnahme an den am 25. und 26. M�rz zu veranstaltenden Pr�fungen s�mmtlicher Classen""";Unbekannt;Unbekannt
