Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
"John Boyne";02.02.2024; """ Die unglaublichen Abenteuer des Barnaby Brocket""";9783733607357;8,99
"Oliver Sacks";30.01.2024; """ Das innere Auge""";9783644010444;11,99
"Timm Eichstädt, Stefan Spieker";29.01.2024; """ 52 Stunden Informatik""";9783658418380;29,99
"Robert A. Dietmair";24.01.2024; """ Die Biografie als Schlüssel zu Verständnis und Wertschätzung von Senioren""";9783758343346;6,99
"Jochen Schmidt";15.01.2024; """ Grundkurs Informatik - Das Übungsbuch""";3658434422;Unbekannt
"Michael Krennerich, Christina Binder, Tessa Debus, Elisabeth Holzleithner, Arnd Pollmann, Stefan Weyers";04.01.2024; """ Die Freiheit der Wissenschaften""";9783756600489;27,99
"Friedhelm Heitmann";2024; """ Geschichte Preußens""";3988410780;Unbekannt
"Sherryl Woods";2024; """ Glaub wieder an die Liebe""";Unbekannt;Unbekannt
"Laia Farran Graves";2024; """ Little Book of Prada""";3965844482;Unbekannt
"J. S. Wonda";2024; """ Very Bad Kings""";398942615X;Unbekannt
"Laia Farran Graves";2024; """ Little Book of Prada""";3965844482;Unbekannt
"Dorothée Böhlke";2024; """ Bobo & Hasi in der Badewanne""";3757100522;Unbekannt
"Thomas Krettenauer, Lars Oberhaus";2024; """ Zwischen Kinosound und Game Audio""";9783830998877;39,99
"Patrick Fesser";2024; """ Wissenschaftspropädeutik und Mathematikunterricht in der gymnasialen Oberstufe""";9783830998570;35,99
"J. S. Wonda";2024; """ Very Bad Kings""";398942615X;Unbekannt
"Megan Hess";2024; """ Coco Chanel""";3791380338;Unbekannt
"Lorrie Kim";2024; """ Snape""";3742327526;Unbekannt
"Megan Hess";2024; """ Coco Chanel""";3791380338;Unbekannt
"Thomas Krettenauer, Lars Oberhaus";2024; """ Zwischen Kinosound und Game Audio""";9783830998877;39,99
"Friedhelm Heitmann";2024; """ Geschichte Preußens""";3988410780;Unbekannt
"Roland Steinacher, Stefan Donecker, Patrick Oelze, Oliver Domzalski, Daniel Mollenhauer, Steffen Raßloff, Michael Gehler";2024; """ Deutsche Geschichte""";3831048991;Unbekannt
"George Eliot";25.12.2023; """ Romola""";Unbekannt;1,99
"Johann Gustav Droysen";20.12.2023; """ Die Geschichte Alexanders des Großen""";Unbekannt;1,99
"Willy Pastor";19.12.2023; """ Albrecht Dürer - Biografie mit Illustrationen""";Unbekannt;1,99
"Stefan Zweig";08.12.2023; """ Ungeduld des Herzens. Roman""";Unbekannt;1,99
"Albrecht Thoma";06.12.2023; """ Katharina von Bora (Die Lebensgeschichte der Lutherin)""";Unbekannt;1,99
"Nane Kratzke";04.12.2023; """ Cloud-native Computing""";9783446480292;59,99
"Birgit Jeschonneck";01.12.2023; """ Sprachförderung mit Musik – Märchen neu entdecken""";9783780048776;28,99
"Birgit Jeschonneck";01.12.2023; """ Sprachförderung mit Musik – Märchen neu entdecken""";9783780048776;28,99
"Silvia Henke, Dieter Mersch, Thomas Strässle, Nicolaj van der Meulen, Jörg Wiesel";30.11.2023; """ Praktiken ästhetischen Denkens""";9783839470886;Unbekannt
"René Stauffer";30.11.2023; """ Roger Federer""";9783492605755;19,99
"Ernest Renan";21.11.2023; """ Das Leben Jesu""";Unbekannt;1,99
"Dirk Boll";15.11.2023; """ Kunst ist käuflich""";9783775755382;9,99
"Klaus Höllig, Jörg Hörner";29.10.2023; """ Aufgaben und Lösungen zur Höheren Mathematik 3""";3662681501;Unbekannt
"Jürgen van Oorschot, Andreas Wagner";20.10.2023; """ Biografie und Lebensalter""";9783374074471;97,99
"Mareike Fallwickl";17.10.2023; """ Die Wut, die bleibt""";3499009129;Unbekannt
"Ken Follett";26.09.2023; """ The Armour of Light - deutsche Ausgabe""";3757700066;Unbekannt
"Mathilda Masters, Angelique van Ombergen";25.09.2023; """ 321 superschlaue Dinge, die du über Wissenschaft wissen musst""";3446277242;Unbekannt
"Heribert Bieler";22.09.2023; """ Einführung in die klassische Physik""";3658418923;Unbekannt
"Jens Bisky";12.09.2023; """ Berlin""";9783644017924;24,99
"Walter Isaacson";12.09.2023; """ Elon Musk""";9783641293901;24,99
"Kerstin Rjasanowa";11.09.2023; """ Mathematik im Bauingenieurwesen""";9783446478527;39,99
